site_ID,label,title,variant _Akkadian,type,sub_type,title_source,t-s_pages,URUK_relations,URUK_probability,place_terms,determinatives,language,lanuage_prop,proper_nouns,p-n_type,p-n_type_prop,variant_modern,notes,LOC_details,LOC-1,LOC-1_probability,LOC-2,LOC-3,LOC-4,LOC-5,ccode,CDLI,Pleiades
M7007,WNRB,Nār-Rubbu,KÁ-I{7}-ru-ub-bu,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,380,Near URUK,Probable,Nar(u),***,Iso639-3.sil.org/code/sem,,Rubbu,Place,,,,,,,,,,,IQ,,
M3301,SDRK,Dūr-Rukbi,{uru}BÀD-{1}ru-uk-bi,vocab.getty.edu/page/aat/300008347,,BaggOrtsUndGewassernames2020,194,North of URUK,,Dur,uru,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Rukbi,Personal,,,Walled City,In LOC-1,M4029,,,,,,IQ,,
M9428,SBSD,Bīt-Šaddaynu,{uru}É-šad-da-a-a-nu; --none--,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985; ZadokNewDocumentsUruk2020,104; 496-497,Near URUK,Probable,Bit,uru,Iso639-3.sil.org/code/sem,Possible,Šaddaynu,Personal,,,"Spelled ""Bīt-Šadaynu"" in ZadokNewDocumentsUruk2020",Near LOC-1,M2323,,,,,,IQ,,
M4983,GHBS,Ḫurbat-Šadē,{garim}ḫur-bat-šá-de-e,,,ZadokGeographicalNamesAccording1985,168,Not far from URUK,,,garim,Iso639-3.sil.org/code/sem,,Šadē,Personal,,,,"Near LOC-1, LOC-2",M1639,Possible,M7555,,,,IQ,,
M7069,WSSG,Ḫarru-ša-Šaggē,{i7}ḫar-ri šá {m}šag-ge-e,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,358,North of URUK,,Ḫarru,I7; m,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Šaggē,Personal,,,,"Flowed in LOC-1, LOC-2; in LOC-3",M3380,Possible,M9962,M5454,,,IQ,,
M3520,SBSK,Bāb-šakata,{uru}KÁ-šá-ka-ta,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,61,Not far from URUK,Possible,Bab,uru,Iso639-3.sil.org/code/sem,,Šakata,Appellative,,,,,,,,,,,IQ,,
M2372,HSKL,Húpu šá Šakillatu,Hu-ú-pu šá {uru}Šá-kil-ta,,,ZadokGeographicalNamesAccording1985,499,***,,,uru,Iso639-3.sil.org/code/sem,Possible,Šaqillatu,Personal,,,"Spelling unique to ZadokNewDocumentsUruk2020, usually ""Šaqillatu"" ",Suburb of LOC-1,M6535,,,,,,IQ,,
M2640,NSBT,Naṣībāta, --none--,,,ZadokGeographicalNamesAccording1985,"504, 514",***,,,***,Iso639-3.sil.org/code/sem,,***,,,,,On LOC-1,M3449,,,,,,IQ,,
M1474,WHSL,Ḫarri-Šalam,{i7}ḫar-ri-{m}šá-lam,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985; ZadokNewDocumentsUruk2020,"352; 500, 510",Not far from URUK,Probable,Nar(u),m,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/sem,,Šalamu,Personal,,,"Spelled ""Ḫarri-Šalam(mu)"" in ZadokNewDocumentsUruk2020; LOC-2 is ""Perhaps""","Near LOC-1, LOC-2",M7395,Perhaps,M7980,,,,IQ,,
M5461,SSLM,Šalamu,{lú}qí-i-pi šá {uru}šá-la-mu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,285,Not far from URUK,Possible,,lú; uru,Iso639-3.sil.org/code/sem,,Šalamu,Personal,,,"LOC-1 Marked with ""?""",On LOC-1,M1474,Possible,,,,,IQ,,
M2698,UBUL,Ubūlu, --none--,,,ZadokGeographicalNamesAccording1985,"505, 509",East of URUK,,,***,Iso639-3.sil.org/code/sux,Possible,***,,,,,East of LOC-1,M5794,,,,,,IQ,,
