site_ID,label,title,variant _Akkadian,type,sub_type,title_source,t-s_pages,URUK_relations,URUK_probability,place_terms,determinatives,language,lanuage_prop,proper_nouns,p-n_type,p-n_type_prop,variant_modern,notes,LOC_details,LOC-1,LOC-1_probability,LOC-2,LOC-3,LOC-4,LOC-5,ccode,CDLI,Pleiades
M9883,STSU,Tabīnu-ša-Šuma-ukīn,{uru}ta-bi-nu šá {m}MU.DU; {uru}ta-bi-ni šá {m}MU-DU ši-i-ḫu šá {d}GAŠAN šá UNU{ki}; {garim}ta-bi-ni šá {m}MU-DU NÌ.GA {d}GAŠAN šá UNU{ki} u {d}na-na-a,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,300-301,URUK Region,,,uru; m; d; ki; garim;,Iso639-3.sil.org/code/akk,,Šuma-ukīn,Personal,,,,Not far from LOC-1 ,M2565,,,,,,IQ,,
M6126,WNBN,Nār-Bīnī,ÍD {giš}bi-i-ni:,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,151,URUK Region,,Nar(u),giš,Iso639-3.sil.org/code/akk,,***,,,,"In ""Bēltu ša Uruk"" District",Borders plot with LOC-1; Text from LOC-2,M4874,,M2457,,,,IQ,,
M6999,WHSM,Ḫarri-Šu(m)āti,--none--,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,142,URUK Region,,Ḫarru,***,Iso639-3.sil.org/code/akk,Possible,Šumati,*unclear*,,,mentions no details apart from Uruk connection.,,,,,,,,IQ,,
M4094,SASN,Ālu-ša-Šunanē, --none--,vocab.getty.edu/page/aat/300008347,,ZadokNewDocumentsUruk2020,498,***,,Alu,***,Iso639-3.sil.org/code/akk,,Šunanē,Soc. Group,,,AKA Ālu-ša-Qatnānē,"Near LOC-1, LOC-2",M2668,,M6535,M5418,,,IQ,,
M5140,BETB,Bīt-Ē-ṭābi,Ē-e(?)-ṭa-bi,,,ZadokGeographicalNamesAccording1985,87,Near URUK,,Bit,***,Iso639-3.sil.org/code/sem,,Ṭābi,Appellative,,,,In LOC-1 ,M4029,Possible,,,,,IQ,,
M8038,WHTB,Ḫarru-ṭābu,{i7}ḫar-ri DU{10}.GA,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,359,URUK Region,,Ḫarru,I7,Iso639-3.sil.org/code/akk,,Ṭābu,Appellative,,,,Not far from LOC-1 ,M1853,,,,,,IQ,,
M3912,SATL,Àlu-ša-tašlīšāni,A.ŠÀ šá URU šá {lú}taš-liš{meš} NÌ.GA [šá] {d}GAŠAN šá UNU{ki} u {d}na-na-a ,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,20,Not far from URUK,Possible,Àlu,lú; meš; šá; d; ki,Iso639-3.sil.org/code/akk,,Tašlīšāni,Professional,,,,,,,,,,,IQ,,
M8861,WNTR,Nār-Turnu,I{7}-túr-nu,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,386,Not far from URUK,Possible,Nar(u),***,Iso639-3.sil.org/code/sux; Iso639-3.sil.org/code/akk,,Turnu,Place,,,,,,,,,,,IQ,,
M7961,WUQN,Nār-Uqnû ,--none--,vocab.getty.edu/page/aat/300006073,,ErmidoroNewDataBabylonian2016,160,N/W of URUK,,Nar(u),***,Iso639-3.sil.org/code/akk,,***,,,,"See KleberTempelUndPalast2008, pp 92, 260",,,,,,,,IQ,,
M7899,SBUM,Bīt-{lú}U.MUK{meš},{uru}É-{lú}U.MUK{meš},vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,109,Near URUK,Possible,Bit,uru; lú; meš,Iso639-3.sil.org/code/akk,,U.MUK{meš},Appellative,,,See M6349,,,,,,,,IQ,,
M8964,CDUG,Dūr-Ugumu,{uru}BÀD-ú-gu-um NÌ.GA šá {d}GAŠAN šá UNU{ki} u {d}na-na-a; {uru}BÀD-ugu-mu; BÀD-{m}ú-gu-um; A.ŠÀ šá {uru}BÀD-{m}ú-gu-mu NÌ.GA {d}GAŠAN šá UNU{ki} u {d}na-na-a,vocab.getty.edu/page/aat/300004790,vocab.getty.edu/page/aat/300005072,ZadokGeographicalNamesAccording1985,125,Within URUK,,,uru; d; ki; m,Iso639-3.sil.org/code/sem,,Ugumu,Personal,,,Southwest Section of ancient City Wall (Gilgamesh Wall),,,,,,,,IQ,,
M9433,WNUL,Nār-Ullāja,I{7}-ul-la-a-a,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,389,Not far from URUK,Perhaps,Nar(u),***,Iso639-3.sil.org/code/akk; Iso639-3.sil.org/code/elx,,Ullāja,Place,,,,,,,,,,,IQ,,
M5367,WUSR,Ḫarru-ša-Uṣur-amassu,{i7}ḫar-ri šá {d}URÙ-INIM-su,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,359,In or Near URUK,Possible,Ḫarru,I7; d,Iso639-3.sil.org/code/akk,,Uṣur-amassu,Divine,,,,,,,,,,,IQ,,
M6305,WSKR,Šikru ,ÍD ši-ik-ri,vocab.getty.edu/page/aat/300006073,,ErmidoroNewDataBabylonian2016,165,URUK Text,,,***,Iso639-3.sil.org/code/akk,Possible,***,,,,Mentioned in Eanna Text,,,,,,,,IQ,,
M8230,SDAM,Damūnu ,{lú}da-mu-ni; {lú}da-mu-ni ,vocab.getty.edu/page/aat/300006073,,BaggOrtsUndGewassernames2020,169-170,***,,,lú,Iso639-3.sil.org/code/sem,,***,,,,,On LOC-1,M6117,,,,,,IQ,,
M7778,SDUN,Dunānu ,{lú}du-na-ni; {lu}du-na-nu,vocab.getty.edu/page/aat/300006073,,BaggOrtsUndGewassernames2020,180-181,***,,,lú; lu,Iso639-3.sil.org/code/akk,,***,,,,"See ZadokGeographicalNamesAccording1985, 64-68",,,,,,,,IQ,,
M3020,GAMB,Gambūlu,{kur}gam-bu-li/lu; others,vocab.getty.edu/page/aat/300261086,,BaggOrtsUndGewassernames2020,221-224,***,,,kur,Iso639-3.sil.org/code/sem,,***,,,,"Listed as ""Gambūlu 2""",In LOC-1; On LOC-2; Borders LOC-3,M8809,,M6117,M5451,,,IQ,,
M3396,SHIL,Ḫilmu,{kur}a-ḫi-li-im-mu; {kur}ḫi-il-mu; {uru}ḫi-il-me; {uru}ḫi-il-mu;  {uru}ḫi-li-im-mu,vocab.getty.edu/page/aat/300008347,,BaggOrtsUndGewassernames2020,273-274,Near URUK,,,kur; uru; ,Iso639-3.sil.org/code/sem,,***,,,,,In LOC-1; Banks of LOC-2,M3020,Possible,M4356,,,,IQ,,
M4981,KALD,Kaldu (Chaldea),kal-di; {kur}kal-da-ni; {kur}kal-di; {kur}kal-du; {lú}kal-di; {lú}kal-du,vocab.getty.edu/page/aat/300261086,vocab.getty.edu/page/aat/300135982,BaggOrtsUndGewassernames2020,314-317,***,,,kur; lú,Iso639-3.sil.org/code/sem,,***,,,,,"Includes LOC-1, LOC-2; On LOC-3",M4432,,M5454,M4356,,,IQ,,
M1919,KSSK,Kissik,ki-is-sik{ki}; ki-sik{ki}; kis-sik-ru{ki}; {uru}ki-is-sik{ki},,,BaggOrtsUndGewassernames2020,345-346,***,,,ki; uru,Iso639-3.sil.org/code/sux,,***,,,Tall al-Laḥm; تـل الـلـحـم,,In LOC-1,M9539,,,,,,IQ,,
M3216,SLRK,Larak,UD.UD.AG{ki}; UD.UD{ki}; {uru}la-rak; {uru}la-rak-ka,vocab.getty.edu/page/aat/300008347,,BaggOrtsUndGewassernames2020,368-370,***,,,ki; uru,Iso639-3.sil.org/code/sux,,***,,,,,In LOC-1,M4029,,,,,,IQ,,
M7140,SBZB,Bīt-Zabūnu,{uru}É-{m}za-bu-nu; É-{m}za-bu-nu šá NAM UNU{ki}; É-{m}za-bu-nu; qaq-qa-du É-{m}za(!)-bu-nu,vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,110-111,URUK Region,,Bit,uru; m; ki,Iso639-3.sil.org/code/sem,,Zabūnu,Personal,,,,On LOC-1,M1853,,,,,,IQ,,
M6117,WSRP,Surappu,{íd}su-ra-ap-pi;{íd}su-ra-pi; {íd}su-rap-pi; {íd}su-rap-pu; {íd}sú-rap-pu,vocab.getty.edu/page/aat/300006073,,ZadokGeographicalNamesAccording1985,758-759,***,,,íd,Iso639-3.sil.org/code/sem,Possible,***,,,,,"Next to LOC-1, LOC-2; Connected to LOC-3, LOC-4",M3020,,M8909,M5794,M7961,,IQ,,
M3174,WEUP,Purattu,"pu-rat-tú; {i7}pu-rat-tu; {i7}pu-rat-tú; ki-la-a-tu šá {i7}pu-rat-tu{4}; {i7}pu-ra-ta; {i7}pu-rat-ti; {i7}pu-rat; pú-ra-ti; UD.KIB.NUN{ki}; {i7}UD.KIB.NUN{ki}; a-ba-ar-ti {i7}UD.KIB.NUN{ki}; a-ba-ar-tì {i7}UD.KIB.NUN{ki}; a-bar-ti {i7}UD.KIB.NUN{ki}; a-bar-tì {i7}UD.KIB.NUN{ki}; É-NÌ.GA šá {d}UTU [šá GÚ] {i7}UD.KIB.NUN{ki}; É-NÌ.GA šá GÚ {i7}UD.KIB.NUN{ki}; É-NÌ.GA šá UGU{ḫi} {i7}UD.KIB.NUN{ki}; É-NÌ.GA šá UGU {i7}UD.KIB.NUN{ki}; É-NÌ.GA šá AŠ UGU{ḫi} {i7}UD.KIB.NUN{ki}; É-NÌ.GA šá AŠ UGU {i7}UD.KIB.NUN{ki}; É-NÌ.GA AŠ UGU{ḫi7} {i7}UD.KIB.NUN{ki}; É-NÌ.GA šá [GU/UGU{(ḫi)} {i7}UD].KIB.NUN{ki}; É-NÌ.GA ni-din-it LUGAL šá UGU{ḫi} {i7}UD.KIB.NUN{ki}; É-NÌ.GA GAL{ú} šá UGU{ḫi} {i7}UD.KIB.NUN{ki}; É-NÌ.GA GAL{i} šá UGU{ḫi} {i7}UD.KIB.NUN{ki}; ra-aq-qa-tu{4} šá GÚ {i7}UD.KIB.NUN{ki}; ""raq-qat-tu ša  eqli Purrati""; {i7}UD.KIB.NUN.NA; É-NÌ.GA šá UGU{ḫi} {i7}UD.KIB.NUN.A; {i7}UD.KIB.NUN{ki} ",vocab.getty.edu/page/aat/300266059,vocab.getty.edu/page/aat/300008707,ZadokGeographicalNamesAccording1985,396-398,***,,,I7; ki; d; ḫi; ú; i,Iso639-3.sil.org/code/sux; Iso639-3.sil.org/code/akk,,***,,,,Alternate Title: Euphrates,,,,,,,,IQ,,
M9874,BZGN,Bīt-Zu-gunabu,É-zu-gu-na-bu; {uru}É-(copy E)-zu-ga-na-bi,,,ZadokGeographicalNamesAccording1985,111-112,Not far from URUK,,Bit,uru,Iso639-3.sil.org/code/akk,,Zu-gunabu,Personal,,,"LOC-2 is specified ""Sluice of""","On LOC-1, LOC-2",M3174,,M4312,,,,IQ,,
M7590,SNSP,Namar-saparrāta,{uru}na-mar sa-par-ra-a-ta; {uru}I{7}-sa-par!-ra-a-ta; {uru}I{7}-sa-par-ra-tu{4},vocab.getty.edu/page/aat/300008347,,ZadokGeographicalNamesAccording1985,234,***,,,uru,Iso639-3.sil.org/code/sem,,***,,,,,On LOC-1,M5897,Probable,,,,,IQ,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
